id,icao,iata,name,city,state,country,elevation,lat,lon,tz,createdAt,updatedAt
6529,CKT7,,Wakaw Airport,Wakaw,Saskatchewan,CA,1660,52.64905225,-105.7630634,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6530,CKU2,,Treherne Airport,Treherne,Manitoba,CA,1200,49.6310997,-98.66639709,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6531,CKU4,,Cut Knife Airport,Cut Knife,Saskatchewan,CA,2100,52.73329926,-109.0169983,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6532,CKU5,,Imperial Airport,Imperial,Saskatchewan,CA,1665,51.34999847,-105.4000015,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6533,CKU6,,Grenfell Airport,Grenfell,Saskatchewan,CA,1964,50.4192009,-102.9349976,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6534,CKU7,,Watrous Airport,Watrous,Saskatchewan,CA,1700,51.68713736,-105.3623199,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6535,CKV2,,Kelvington Airport,Kelvington,Saskatchewan,CA,1860,52.13330078,-103.5350037,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6536,CKV4,,North of Sixty Airport,Obre Lake,Northwest Territories,CA,1195,60.31639862,-103.1289978,America/Yellowknife,2020-08-18 12:04:00,2020-08-18 12:04:00
6537,CKV6,,Churchbridge Airport,Churchbridge,Saskatchewan,CA,1745,51.01670074,-101.8170013,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6538,CKV7,,Wawota Airport,Wawota,Saskatchewan,CA,2168,49.89448234,-102.0304585,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6539,CKW6,,Davin Lake Airport,Davin Lake,Saskatchewan,CA,1200,56.88330078,-103.5830002,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6540,CKX2,,Warren / Woodlands Airport,Warren,Manitoba,CA,817,50.15940094,-97.5911026,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6541,CKX4,,Fisher Branch Airport,Fisher Branch,Manitoba,CA,825,51.08330154,-97.48329926,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6542,CKX5,,Dinsmore Airport,Dinsmore,Saskatchewan,CA,1900,51.33060074,-107.4380035,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6543,CKX8,,Big River Airport,Big River,Saskatchewan,CA,1592,53.83610153,-107.0090027,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6544,CKY2,,Whitewood Airport,Whitewood,Saskatchewan,CA,2000,50.33477838,-102.2744751,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6545,CKY8,,Arkayla Springs Airport,Cochrane,Alberta,CA,4000,51.20470047,-114.7740021,America/Edmonton,2020-08-18 12:04:00,2020-08-18 12:04:00
6546,CKZ2,,Willow Bunch Airport,Willow Bunch,Saskatchewan,CA,2427,49.40000153,-105.6669998,America/Regina,2020-08-18 12:04:00,2020-08-18 12:04:00
6547,CKZ3,,Elk Island Airport,Elk Island,Manitoba,CA,625,54.67139816,-94.14530182,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6548,CKZ6,,Louise Municipal Airport,Crystal City-Pilot Mound,Manitoba,CA,1525,49.14720154,-98.88079834,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6549,CKZ7,,Winkler Airport,Winkler,Manitoba,CA,850,49.16690063,-97.92030334,America/Winnipeg,2020-08-18 12:04:00,2020-08-18 12:04:00
6550,CL01,,Eagle Field,Dos Palos,California,US,153,36.89989853,-120.6679993,America/Los_Angeles,2020-08-18 12:04:00,2020-08-18 12:04:00
6551,CL04,,Sky Way Estates Airport,Elk Grove,California,US,92,38.41070175,-121.2350006,America/Los_Angeles,2020-08-18 12:04:00,2020-08-18 12:04:00
